iter	Passed	Remaining
404	8451	12415
405	8472	12395
406	8492	12373
407	8513	12352
408	8535	12333
409	8556	12313
410	8577	12291
411	8598	12271
412	8617	12248
413	8639	12228
414	8659	12206
415	8680	12185
416	8701	12165
417	8722	12144
418	8743	12124
419	8765	12104
420	8787	12085
421	8807	12063
422	8828	12042
423	8848	12020
424	8869	11999
425	8890	11978
426	8910	11956
427	8931	11936
428	8952	11915
429	8972	11893
430	8993	11872
431	9013	11851
432	9036	11833
433	9058	11813
434	9079	11793
435	9101	11773
436	9121	11751
437	9141	11729
438	9163	11709
439	9183	11687
440	9204	11667
441	9226	11647
442	9247	11626
443	9268	11606
444	9288	11584
445	9309	11564
446	9330	11542
447	9350	11520
448	9371	11500
449	9391	11479
450	9411	11457
451	9433	11437
452	9454	11415
453	9475	11395
454	9495	11374
455	9517	11354
456	9538	11333
457	9559	11312
458	9580	11292
459	9601	11271
460	9622	11250
461	9643	11230
462	9665	11209
463	9686	11189
464	9708	11169
465	9728	11148
466	9749	11127
467	9770	11106
468	9792	11086
469	9813	11066
470	9834	11044
471	9854	11023
472	9874	11001
473	9896	10981
474	9916	10960
475	9937	10939
476	9957	10918
477	9979	10897
478	9999	10876
479	10021	10856
480	10043	10836
481	10064	10815
482	10084	10794
483	10105	10773
484	10124	10751
485	10145	10729
486	10166	10709
487	10186	10687
488	10206	10665
489	10227	10644
490	10248	10624
491	10269	10603
492	10290	10583
493	10312	10563
494	10334	10542
495	10354	10521
496	10376	10501
497	10397	10481
498	10419	10461
499	10440	10440
500	10460	10419
501	10482	10398
502	10502	10377
503	10524	10357
504	10546	10337
505	10567	10316
506	10587	10295
507	10607	10273
508	10627	10251
509	10648	10231
510	10668	10209
511	10689	10188
512	10710	10167
513	10730	10146
514	10752	10125
515	10773	10105
516	10795	10085
517	10816	10064
518	10837	10043
519	10858	10023
520	10878	10001
521	10899	9980
522	10921	9960
523	10941	9939
524	10962	9918
525	10983	9897
526	11004	9877
527	11025	9856
528	11046	9835
529	11069	9815
530	11090	9795
531	11111	9774
532	11133	9754
533	11153	9732
534	11173	9711
535	11195	9691
536	11215	9670
537	11237	9649
538	11258	9629
539	11280	9609
540	11302	9589
541	11323	9568
542	11343	9547
543	11363	9525
544	11384	9504
545	11405	9484
546	11427	9463
547	11447	9441
548	11454	9409
549	11475	9389
550	11495	9367
551	11517	9347
552	11538	9327
553	11560	9306
554	11580	9285
555	11600	9263
556	11621	9242
557	11641	9221
558	11662	9200
559	11682	9178
560	11702	9157
561	11724	9137
562	11746	9117
563	11767	9096
564	11788	9076
565	11810	9055
566	11830	9034
567	11852	9014
568	11872	8992
569	11893	8972
570	11914	8951
571	11936	8931
572	11958	8911
573	11979	8890
574	12000	8870
575	12023	8850
576	12044	8829
577	12065	8808
578	12086	8788
579	12106	8766
580	12127	8745
581	12148	8725
582	12169	8704
583	12189	8683
584	12211	8663
585	12232	8642
586	12254	8621
587	12275	8600
588	12297	8580
589	12318	8560
590	12338	8538
591	12359	8518
592	12379	8496
593	12400	8475
594	12420	8454
595	12441	8433
596	12462	8412
597	12483	8391
598	12503	8370
599	12524	8349
600	12546	8329
601	12567	8308
